"HOSTNAME","IP","COMMUNITY","MODELNAME","CLASSNAME","SERIALNUMBER","SYSDESC"
"AGGSW_BG_BLOK19A_1.ibis.rs","127.0.0.1","test","ME-3600X-24FS-M","Cisco","FOC1537V3Q8","Cisco IOS Software, ME360x Software (ME360x-UNIVERSALK9-M), Version 15.3(3)S3, RELEASE SOFTWARE (fc2)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2014 by Cisco Systems, Inc.  Compiled Sun 01-Jun-14 09:47 by prod_rel_team"
"BG_VIG-PLAZA_SA.ibis.rs","127.0.0.2","test","ME-3400G-12CS-A","CiscoME34xx","FOC1304U04G","Cisco IOS Software, ME340x Software (ME340x-METROIPACCESSK9-M), Version 12.2(58)SE2, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 21-Jul-11 03:06 by prod_rel_team"
"BNG_BG_ibis","127.0.0.2","test",,"Alcatel7750",,"TiMOS-C-14.0.R13 cpm/hops64 Nokia 7750 SR Copyright (c) 2000-2017 Nokia.  All rights reserved. All use subject to applicable license agreements.  Built on Wed Dec 20 16:33:36 PST 2017 by builder in /rel14.0/b1/R13/panos/main  "
"Cisco_2960_ibis_Panon.ibis.rs","127.0.0.3","test","WS-C2960G-24TC-L","CiscoCat29xx","FOC1429V6BF","Cisco IOS Software, C2960 Software (C2960-LANBASEK9-M), Version 12.2(44)SE6, RELEASE SOFTWARE (fc1)  Copyright (c) 1986-2009 by Cisco Systems, Inc.  Compiled Mon 09-Mar-09 18:10 by gereddy"
"DispecerskiCentar.ibis.rs","127.0.0.4","nIsl2nl00g1ng",,"CiscoCat29xx",,"Cisco IOS Software, C2960 Software (C2960-LANLITEK9-M), Version 12.2(55)SE5, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2012 by Cisco Systems, Inc.  Compiled Thu 09-Feb-12 19:11 by prod_rel_team"
"IN_TQ8_ibis","127.0.0.5","test",,"HuaweiSSeries",,"S2326TP-EI   Huawei Versatile Routing Platform Software    VRP (R) software,Version 5.70 (S2300 V100R006C03)    Copyright (C) 2003-2011 Huawei Technologies Co., Ltd."
"NIS_BS2_SU_Puskinov_trg_ibis.rs","127.0.0.6","NIS","CISCO1841","Cisco18xx","FCZ122691VH","Cisco IOS Software, 1841 Software (C1841-ADVENTERPRISEK9-M), Version 15.1(4)M6, RELEASE SOFTWARE (fc2)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2013 by Cisco Systems, Inc.  Compiled Thu 14-Feb-13 03:21 by prod_rel_team"
"NI_MX240_ibis","79.1.1.1","test",,"JuniperMXSeries",,"MPBN NI_MX240_1"
"NOV-MX5-SR1","122.0.0.1","test",,"JuniperMSeries",,"ite Route"
"BNG_BG_ibis","123.0.0.1","test",,"Alcatel7750",,"TiMOS-C-14.0.R13 cpm/hops64 Nokia 7750 SR Copyright (c) 2000-2017 Nokia.  All rights reserved. All use subject to applicable license agreements.  Built on Wed Dec 20 16:33:36 PST 2017 by builder in /rel14.0/b1/R13/panos/main  "
"BOKELJKA_SW1","132.0.0.9","test",,"HuaweiSSeries",,"S3328TP-EI   Huawei Versatile Routing Platform Software    VRP (R) software,Version 5.70 (S3328 V100R005C01SPC100)    Copyright (C) 2000-2006 Huawei Technologies Co., Ltd."
"BG_ZE1_TSZ1.ibis","122.0.0.1","test","WS-C2960-24PC-L","CiscoCat29xx","FOC1346W420","Cisco IOS Software, C2960 Software (C2960-LANBASEK9-M), Version 12.2(44)SE6, RELEASE SOFTWARE (fc1)  Copyright (c) 1986-2009 by Cisco Systems, Inc.  Compiled Mon 09-Mar-09 18:10 by gereddy"
"Gi_dns_2","10.10.1.1","itnocsnmpro",,"NetworkDevice",,"Linux gidns2.mts.telekom.rs 2.6.32.8 #1 SMP Tue Jan 7 21:59:09 EST 2014 x86_64"
